"type","country","total_amount","year"
"06章 活植物；茎、根；插花、簇叶","土耳其",2945600,"2024"
"06章 活植物；茎、根；插花、簇叶","阿拉伯联合酋长国",11677400,"2024"
"06章 活植物；茎、根；插花、簇叶","越南",55416200,"2024"
"06章 活植物；茎、根；插花、簇叶","中国台湾",1866200,"2024"
"06章 活植物；茎、根；插花、簇叶","哈萨克斯坦",6755000,"2024"
"06章 活植物；茎、根；插花、簇叶","南非",796600,"2024"
"06章 活植物；茎、根；插花、簇叶","欧洲联盟",65431800,"2024"
"06章 活植物；茎、根；插花、簇叶","比利时",2700600,"2024"
"06章 活植物；茎、根；插花、簇叶","丹麦",1992200,"2024"
"06章 活植物；茎、根；插花、簇叶","英国",2633400,"2024"
"06章 活植物；茎、根；插花、簇叶","德国",7502600,"2024"
"06章 活植物；茎、根；插花、簇叶","法国",2338000,"2024"
"06章 活植物；茎、根；插花、簇叶","意大利",3175200,"2024"
"06章 活植物；茎、根；插花、簇叶","荷兰",38187800,"2024"
"06章 活植物；茎、根；插花、簇叶","西班牙",6314000,"2024"
"06章 活植物；茎、根；插花、簇叶","奥地利",690.48,"2024"
"06章 活植物；茎、根；插花、簇叶","芬兰",0,"2024"
"06章 活植物；茎、根；插花、簇叶","瑞典",599200,"2024"
"06章 活植物；茎、根；插花、簇叶","罗马尼亚",15400,"2024"
"06章 活植物；茎、根；插花、簇叶","瑞士",71400,"2024"
"06章 活植物；茎、根；插花、簇叶","俄罗斯",7166600,"2024"
"06章 活植物；茎、根；插花、簇叶","乌克兰",16800,"2024"
"06章 活植物；茎、根；插花、簇叶","阿根廷",0,"2024"
"06章 活植物；茎、根；插花、簇叶","巴西",75600,"2024"
"06章 活植物；茎、根；插花、簇叶","智 利",449400,"2024"
"06章 活植物；茎、根；插花、簇叶","加拿大",5749800,"2024"
"06章 活植物；茎、根；插花、簇叶","美国",63473200,"2024"
"06章 活植物；茎、根；插花、簇叶","澳大利亚",11603200,"2024"
"06章 活植物；茎、根；插花、簇叶","新西兰",985600,"2024"
"07章 食用蔬菜、根及块茎","缅甸",14327600,"2024"
"07章 食用蔬菜、根及块茎","中国香港",1696177000,"2024"
"07章 食用蔬菜、根及块茎","印度",29759800,"2024"
"07章 食用蔬菜、根及块茎","印度尼西亚",614269600,"2024"
"07章 食用蔬菜、根及块茎","伊朗",338800,"2024"
"07章 食用蔬菜、根及块茎","日本",1186752000,"2024"
"07章 食用蔬菜、根及块茎","中国澳门",15612800,"2024"
"07章 食用蔬菜、根及块茎","马来西亚",713221600,"2024"
"07章 食用蔬菜、根及块茎","阿曼",14887892.88,"2024"
"07章 食用蔬菜、根及块茎","巴基斯坦",31789800,"2024"
"07章 食用蔬菜、根及块茎","菲律宾",162037400,"2024"
"07章 食用蔬菜、根及块茎","沙特阿拉伯",72843400,"2024"
"07章 食用蔬菜、根及块茎","新加坡",98008400,"2024"
"07章 食用蔬菜、根及块茎","韩国",503928600,"2024"
"07章 食用蔬菜、根及块茎","泰国",487394600,"2024"
"07章 食用蔬菜、根及块茎","土耳其",15545600,"2024"
"07章 食用蔬菜、根及块茎","阿拉伯联合酋长国",154429800,"2024"
"07章 食用蔬菜、根及块茎","越南",1181058200,"2024"
"07章 食用蔬菜、根及块茎","中国台湾",63126000,"2024"
"07章 食用蔬菜、根及块茎","哈萨克斯坦",6221600,"2024"
"07章 食用蔬菜、根及块茎","南非",18988200,"2024"
"07章 食用蔬菜、根及块茎","欧洲联盟",565397000,"2024"
"07章 食用蔬菜、根及块茎","比利时",54044200,"2024"
"07章 食用蔬菜、根及块茎","丹麦",6836200,"2024"
"07章 食用蔬菜、根及块茎","英国",102732000,"2024"
"07章 食用蔬菜、根及块茎","德国",89093200,"2024"
"07章 食用蔬菜、根及块茎","法国",47843600,"2024"
"07章 食用蔬菜、根及块茎","意大利",97836200,"2024"
"07章 食用蔬菜、根及块茎","荷兰",148432200,"2024"
"07章 食用蔬菜、根及块茎","西班牙",51522800,"2024"
"07章 食用蔬菜、根及块茎","奥地利",316400,"2024"
"07章 食用蔬菜、根及块茎","芬兰",786012.22,"2024"
"07章 食用蔬菜、根及块茎","瑞典",5480798.4,"2024"
"07章 食用蔬菜、根及块茎","罗马尼亚",4209800,"2024"
"07章 食用蔬菜、根及块茎","瑞士",2465400,"2024"
"07章 食用蔬菜、根及块茎","俄罗斯",275641800,"2024"
"07章 食用蔬菜、根及块茎","乌克兰",6272000,"2024"
"07章 食用蔬菜、根及块茎","阿根廷",3731000,"2024"
"07章 食用蔬菜、根及块茎","巴西",119901600,"2024"
"07章 食用蔬菜、根及块茎","智 利",34224400,"2024"
"07章 食用蔬菜、根及块茎","加拿大",126298200,"2024"
"07章 食用蔬菜、根及块茎","美国",622736800,"2024"
"07章 食用蔬菜、根及块茎","澳大利亚",77590800,"2024"
"07章 食用蔬菜、根及块茎","新西兰",19672800,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","缅甸",8530200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","中国香港",372754200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","印度",38743600,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","印度尼西亚",430418800,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","伊朗",365400,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","日本",84012600,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","中国澳门",9100000,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","马来西亚",222572000,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","阿曼",1244600,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","巴基斯坦",23613800,"2024"
